   60.000  0.032000  0.536418  0.536520   1.97   1.97   3.30   1.26   1.04   0.49   0.00  -0.61   0.69   0.03   0.21  -0.16   0.00   2.66
   60.000  0.050000  0.511578  0.511794   1.54   1.54   6.80   1.95   1.03  -0.04   0.00  -0.83   0.92  -0.35  -0.10  -0.12   0.00   6.30
   70.000  0.001300  1.530909  1.438159   1.77   1.77   2.22   0.60   1.94   0.25  -0.27  -0.45   0.15   0.14   0.30  -0.27   0.54   0.02
   70.000  0.002100  1.261783  1.238322   1.73   1.73   1.92   0.33   1.63   0.40  -0.10   0.32   0.05   0.42  -0.32   0.36   0.48   0.08
   70.000  0.003200  1.093596  1.086522   1.67   1.67   1.62   0.46   1.40   0.48  -0.02  -0.20  -0.13   0.30  -0.27   0.00   0.06  -0.05
   70.000  0.005000  0.986186  0.984084   1.55   1.55   1.50   0.43   1.25   0.54   0.00  -0.29   0.16   0.20  -0.09  -0.16   0.01   0.20
   70.000  0.008000  0.815385  0.814980   1.62   1.62   1.38   0.48   1.14   0.18   0.00  -0.41   0.22   0.12  -0.06  -0.18   0.00  -0.27
   70.000  0.013000  0.707971  0.708073   1.90   1.90   1.65   0.51   1.08   0.27   0.00  -0.58   0.78  -0.34  -0.05   0.15   0.00  -0.38
   70.000  0.021000  0.620393  0.620496   1.78   1.78   1.63   0.67   1.05   0.38   0.00  -0.57   0.59  -0.22   0.07   0.04   0.00   0.47
   70.000  0.032000  0.556538  0.556642   2.11   2.11   2.78   0.92   1.04   0.28   0.00  -0.26  -0.19   0.32  -0.06  -0.22   0.00   2.34
   70.000  0.050000  0.500335  0.500439   1.63   1.63   6.24   0.90   1.04   0.35   0.00  -0.68   0.51  -0.23   0.19  -0.08   0.00   6.01
   90.000  0.002100  1.276908  1.235591   1.98   1.98   2.17   0.35   1.81   0.20  -0.38  -0.83  -0.03   0.36  -0.23   0.23   0.47   0.03
   90.000  0.003200  1.181574  1.168005   1.85   1.85   1.72   0.22   1.52   0.43  -0.35   0.26   0.08   0.41  -0.20  -0.06   0.05   0.06
   90.000  0.005000  1.032382  1.028578   1.68   1.68   1.69   0.56   1.32   0.15  -0.06  -0.74  -0.09   0.13  -0.17  -0.27   0.00  -0.30
   90.000  0.008000  0.897241  0.896382   1.75   1.75   1.49   0.23   1.18   0.68  -0.01  -0.44  -0.17  -0.12  -0.25   0.03   0.01   0.11
   90.000  0.013000  0.748751  0.748751   2.06   2.06   1.61   0.97   1.10   0.38   0.01  -0.24   0.33  -0.28  -0.10   0.19   0.00   0.05
   90.000  0.021000  0.621373  0.621575   1.91   1.91   1.90   0.60   1.06   0.39  -0.01  -0.33   0.92  -0.27   0.19   0.06   0.00  -0.96
   90.000  0.032000  0.534766  0.534962   2.29   2.29   2.88   1.23   1.05   0.57   0.01  -0.29   0.48   0.19   0.04  -0.15   0.01   2.24
   90.000  0.050000  0.483949  0.484149   2.11   2.11   6.30   0.93   1.04   0.19   0.00   0.19   0.09   0.18   0.06  -0.20   0.00   6.13
   90.000  0.080000  0.435271  0.435474   1.96   1.96   2.83   0.90   1.03   0.24  -0.01  -0.58   0.75  -0.14   0.14  -0.04   0.00   2.26
   90.000  0.180000  0.339495  0.339697   3.07   3.07   5.32   3.04   1.03   0.66   0.00  -3.11   1.55  -1.35  -0.66   0.02   0.00  -1.79
  120.000  0.002100  1.403936  1.316639   2.23   2.23   2.46   0.77   1.97  -0.03   0.62  -0.87   0.15   0.14   0.28  -0.56   0.03  -0.06
  120.000  0.003200  1.198474  1.173232   1.93   1.93   2.05   0.73   1.67   0.30   0.05  -0.69  -0.04   0.31  -0.41   0.02   0.10  -0.03
