Q2 beta x xp*sigmaD(3) dstat dsys dtot
15.0 0.4 0.00020 0.0404 18.4 9.6 20.7
15.0 0.4 0.00032 0.0422 8.2 4.3 9.2
15.0 0.4 0.00050 0.0441 7.0 5.0 8.6
15.0 0.4 0.00080 0.0340 7.5 3.8 8.4
15.0 0.4 0.00130 0.0307 7.6 3.3 8.3
15.0 0.4 0.00200 0.0270 7.5 3.7 8.4
15.0 0.4 0.00320 0.0251 7.8 3.9 8.7
15.0 0.65 0.00032 0.0573 8.8 5.0 10.1
15.0 0.65 0.00050 0.0421 7.4 5.4 9.2
15.0 0.65 0.00080 0.0417 6.9 4.1 8.1
15.0 0.65 0.00130 0.0420 7.4 3.6 8.2
15.0 0.65 0.00200 0.0351 8.4 3.7 9.1
15.0 0.65 0.00320 0.0329 8.4 4.6 9.6
15.0 0.9 0.00032 0.0337 24.5 38.9 46.0
15.0 0.9 0.00050 0.0339 13.6 19.8 24.0
15.0 0.9 0.00080 0.0300 12.4 10.4 16.2
15.0 0.9 0.00130 0.0398 11.2 8.3 14.0
15.0 0.9 0.00200 0.0374 11.1 6.9 13.1
15.0 0.9 0.00320 0.0301 13.6 7.1 15.3
20.0 0.01 0.00032 0.0287 10.3 26.9 28.8
20.0 0.01 0.00050 0.0380 8.6 23.7 25.2
20.0 0.04 0.00032 0.0330 9.0 5.0 10.3
20.0 0.04 0.00050 0.0295 6.9 7.0 9.9
20.0 0.04 0.00080 0.0298 5.7 9.3 10.9
20.0 0.04 0.00130 0.0300 6.5 14.4 15.7
20.0 0.04 0.00200 0.0347 8.1 23.9 25.2
20.0 0.1 0.00032 0.0318 11.2 5.7 12.5
20.0 0.1 0.00050 0.0263 7.8 3.8 8.7
20.0 0.1 0.00080 0.0272 7.4 4.3 8.6
20.0 0.1 0.00130 0.0253 7.5 6.9 10.2
20.0 0.1 0.00200 0.0272 7.1 9.8 12.1
20.0 0.2 0.00032 0.0294 11.0 4.5 11.9
20.0 0.2 0.00050 0.0320 7.6 3.5 8.3
20.0 0.2 0.00080 0.0312 6.7 3.2 7.4
20.0 0.2 0.00130 0.0294 6.9 4.6 8.3
20.0 0.2 0.00200 0.0274 7.6 5.1 9.1
20.0 0.2 0.00320 0.0249 7.8 8.6 11.6
20.0 0.4 0.00032 0.0378 12.0 5.2 13.1
20.0 0.4 0.00050 0.0409 8.4 4.7 9.6
20.0 0.4 0.00080 0.0368 9.9 3.4 10.5
20.0 0.4 0.00130 0.0286 8.3 3.3 8.9
20.0 0.4 0.00200 0.0235 21.2 3.6 21.5
20.0 0.4 0.00320 0.0260 8.2 4.4 9.3
20.0 0.65 0.00032 0.0574 13.1 6.6 14.7
20.0 0.65 0.00050 0.0551 7.8 3.6 8.6
20.0 0.65 0.00080 0.0449 7.5 4.1 8.6
20.0 0.65 0.00130 0.0420 7.7 3.5 8.4
20.0 0.65 0.00200 0.0397 9.0 2.9 9.4
20.0 0.65 0.00320 0.0361 8.7 4.6 9.8
20.0 0.65 0.00500 0.0277 11.0 5.4 12.2
20.0 0.9 0.00032 0.0309 26.7 40.3 48.3
20.0 0.9 0.00050 0.0375 18.0 21.0 27.6
20.0 0.9 0.00080 0.0310 14.6 11.6 18.6
