0 4 2.30e+01, 2.90e-01, 3.00e+00, 1.26e+00, 2.00e+00, 5.00e-01, 5.00e-01, r integrated from 0 to 30.000000 

nf=5	N_CHEB=16	N_DATA=387.

    1.486e+04 (39.106), in 8.7e-01 sec
94 4 1.92e+01, 2.92e-01, 2.93e+00, 1.26e+00, 2.00e+00, 2.93e-04, 2.31e-01,     1.072e+03 (2.821), in 2.3e-01 sec
95 4 1.90e+01, 2.91e-01, 3.01e+00, 1.26e+00, 2.00e+00, 4.74e-03, 2.26e-01,     1.049e+03 (2.762), in 2.2e-01 sec
96 4 1.94e+01, 2.86e-01, 2.86e+00, 1.26e+00, 2.00e+00, 1.98e-02, 2.61e-01,     1.139e+03 (2.997), in 2.2e-01 sec
97 4 1.92e+01, 2.99e-01, 2.93e+00, 1.26e+00, 2.00e+00, 6.94e-03, 1.95e-01,     1.144e+03 (3.010), in 2.2e-01 sec
98 4 1.90e+01, 2.93e-01, 2.95e+00, 1.26e+00, 2.00e+00, 2.26e-02, 1.95e-01,     1.121e+03 (2.951), in 2.2e-01 sec
99 4 1.91e+01, 2.91e-01, 3.02e+00, 1.26e+00, 2.00e+00, 1.20e-02, 2.21e-01,     1.068e+03 (2.811), in 2.2e-01 sec
100 4 1.91e+01, 2.84e-01, 2.95e+00, 1.26e+00, 2.00e+00, 4.08e-04, 2.54e-01,     1.119e+03 (2.946), in 2.3e-01 sec
101 4 1.88e+01, 2.96e-01, 3.06e+00, 1.26e+00, 2.00e+00, 6.30e-02, 1.87e-01,     1.280e+03 (3.369), in 2.2e-01 sec
102 4 1.92e+01, 2.89e-01, 2.91e+00, 1.26e+00, 2.00e+00, 1.82e-03, 2.42e-01,     1.085e+03 (2.855), in 2.2e-01 sec
103 4 1.89e+01, 2.84e-01, 3.07e+00, 1.26e+00, 2.00e+00, 1.87e-02, 2.36e-01,     1.134e+03 (2.985), in 2.2e-01 sec
104 4 1.92e+01, 2.93e-01, 2.92e+00, 1.26e+00, 2.00e+00, 1.31e-04, 2.23e-01,     1.072e+03 (2.822), in 2.3e-01 sec
105 4 1.93e+01, 2.86e-01, 2.97e+00, 1.26e+00, 2.00e+00, 9.93e-03, 2.74e-01,     1.196e+03 (3.147), in 2.2e-01 sec
106 4 1.90e+01, 2.91e-01, 2.96e+00, 1.26e+00, 2.00e+00, 7.74e-03, 2.14e-01,     1.055e+03 (2.776), in 2.2e-01 sec
107 4 1.91e+01, 2.98e-01, 2.97e+00, 1.26e+00, 2.00e+00, 1.31e-02, 1.97e-01,     1.115e+03 (2.935), in 2.2e-01 sec
108 4 1.91e+01, 2.94e-01, 2.97e+00, 1.26e+00, 2.00e+00, 6.52e-03, 2.11e-01,     1.069e+03 (2.813), in 2.2e-01 sec
109 4 1.90e+01, 2.96e-01, 3.04e+00, 1.26e+00, 2.00e+00, 3.45e-02, 1.97e-01,     1.121e+03 (2.950), in 2.2e-01 sec
110 4 1.91e+01, 2.90e-01, 2.94e+00, 1.26e+00, 2.00e+00, 2.13e-04, 2.30e-01,     1.068e+03 (2.811), in 2.2e-01 sec
111 4 1.90e+01, 2.91e-01, 3.04e+00, 1.26e+00, 2.00e+00, 1.77e-02, 2.18e-01,     1.056e+03 (2.778), in 2.2e-01 sec
